time,stress,shearX,shearY,grip,angle,rawStress,rawShearX,rawShearY,rawGrip,rawAngle
02:25:14:18:58:658979,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:58:784251,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:58:908278,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:35540,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:161659,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:286889,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:418432,200.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:544583,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:666608,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:791551,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:18:59:916611,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:43759,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:169090,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:295227,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:420888,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:545118,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:669735,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:795553,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:00:921033,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:47353,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:172829,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:298505,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:429207,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:549211,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:676681,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:802063,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:01:927539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
